Vardas        Pavarde           ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      Egz.
Vardas46      Pavarde46         0         2         7         7         1         4         2         3         5         2         8
Vardas47      Pavarde47         6         7         5         5         10        9         7         10        7         4         7
Vardas48      Pavarde48         1         3         7         0         0         1         2         8         3         8         9
Vardas49      Pavarde49         1         8         10        2         1         7         10        9         5         1         4
Vardas50      Pavarde50         3         4         3         5         5         9         7         1         0         9         2
Vardas51      Pavarde51         3         3         3         4         4         8         7         8         10        4         10
Vardas52      Pavarde52         3         1         9         5         6         9         9         8         8         6         4
Vardas53      Pavarde53         9         7         2         0         7         5         8         3         2         2         2
Vardas54      Pavarde54         6         7         8         6         0         9         10        9         10        4         2
Vardas55      Pavarde55         5         2         7         4         8         8         5         6         3         4         0
Vardas56      Pavarde56         4         1         2         5         2         9         2         7         7         5         9
Vardas57      Pavarde57         0         8         7         5         3         6         8         5         2         6         6
Vardas58      Pavarde58         3         7         3         4         2         5         6         3         4         10        6
Vardas59      Pavarde59         0         2         3         3         5         9         5         2         9         6         1
Vardas60      Pavarde60         3         1         4         10        6         10        5         4         9         10        1
Vardas61      Pavarde61         10        3         3         5         10        3         8         6         6         9         9
Vardas62      Pavarde62         4         5         3         5         10        0         5         6         9         7         3
Vardas63      Pavarde63         9         8         1         5         5         8         6         2         2         2         10
Vardas64      Pavarde64         5         3         2         3         4         4         10        0         10        2         2
Vardas65      Pavarde65         6         10        10        7         5         5         6         5         9         10        6
Vardas66      Pavarde66         1         9         0         10        9         4         9         2         2         9         6
Vardas67      Pavarde67         3         2         1         9         5         10        10        6         6         3         6
Vardas68      Pavarde68         7         3         3         7         5         4         4         8         6         10        2
Vardas69      Pavarde69         3         1         7         1         4         4         3         10        1         1         6
Vardas70      Pavarde70         7         2         2         8         7         7         1         0         3         9         0
Vardas71      Pavarde71         1         9         2         1         8         10        0         6         2         9         4
Vardas72      Pavarde72         2         7         6         2         3         4         3         10        9         0         5
Vardas73      Pavarde73         2         5         1         2         3         8         5         9         1         2         4
Vardas74      Pavarde74         1         1         9         0         5         9         7         6         8         8         6
Vardas75      Pavarde75         0         10        8         0         9         1         2         8         10        9         4
Vardas76      Pavarde76         8         4         10        0         0         9         8         9         4         9         5
Vardas77      Pavarde77         6         9         10        6         7         6         10        10        7         5         6
Vardas78      Pavarde78         5         6         6         6         4         5         7         8         7         4         1
Vardas79      Pavarde79         3         5         8         0         4         9         9         10        9         9         2
Vardas80      Pavarde80         4         5         6         1         2         9         1         9         1         6         10
Vardas81      Pavarde81         7         7         3         2         10        2         2         9         3         7         1
Vardas82      Pavarde82         2         9         0         4         4         1         10        5         2         5         7
Vardas83      Pavarde83         5         1         1         2         4         9         6         10        6         0         9
Vardas84      Pavarde84         5         8         6         5         9         6         3         7         4         8         10
Vardas85      Pavarde85         2         9         8         8         10        10        2         8         7         2         5
Vardas86      Pavarde86         5         6         3         9         1         7         1         2         9         6         3
Vardas87      Pavarde87         0         1         1         10        4         5         6         8         10        4         7
Vardas88      Pavarde88         1         8         4         3         2         8         7         4         5         7         3
Vardas89      Pavarde89         5         3         2         1         10        8         2         0         1         3         4
Vardas90      Pavarde90         0         2         0         10        0         1         5         10        5         1         9
Vardas91      Pavarde91         2         3         3         9         1         4         8         10        9         3         3
Vardas92      Pavarde92         3         7         1         5         1         7         6         9         5         9         6
Vardas93      Pavarde93         7         4         6         5         9         10        10        3         2         2         3
Vardas94      Pavarde94         2         2         10        4         4         9         9         2         1         6         7
Vardas95      Pavarde95         6         4         3         0         10        4         3         6         8         0         1
Vardas96      Pavarde96         1         10        4         1         2         6         3         2         2         7         9
Vardas97      Pavarde97         2         0         8         4         2         0         6         3         7         4         4
Vardas98      Pavarde98         3         3         8         7         6         7         1         7         1         3         3
Vardas99      Pavarde99         10        4         6         7         8         2         1         8         7         8         0
Vardas100     Pavarde100        5         5         5         0         5         8         10        5         1         9         2
Vardas101     Pavarde101        6         0         8         3         10        6         4         7         0         4         3
Vardas102     Pavarde102        0         9         8         10        2         3         9         7         8         7         3
Vardas103     Pavarde103        2         2         3         0         5         9         10        3         1         9         4
Vardas104     Pavarde104        4         0         5         10        3         2         6         8         10        9         4
Vardas105     Pavarde105        3         2         9         5         0         3         5         6         6         10        6
Vardas106     Pavarde106        8         1         7         3         5         1         9         2         2         4         10
Vardas107     Pavarde107        0         7         0         7         6         3         6         1         2         3         0
Vardas108     Pavarde108        8         1         6         3         4         2         2         1         9         8         2
Vardas109     Pavarde109        4         6         3         6         3         3         2         8         1         3         2
Vardas110     Pavarde110        4         5         2         6         4         5         4         3         2         4         4
Vardas111     Pavarde111        7         7         10        3         7         5         9         7         4         3         4
Vardas112     Pavarde112        3         5         4         4         5         7         7         0         7         7         7
Vardas113     Pavarde113        1         8         3         7         7         4         9         10        7         1         7
Vardas114     Pavarde114        10        5         8         4         10        1         9         7         1         9         8
Vardas115     Pavarde115        4         4         10        10        6         4         7         5         1         5         9
Vardas116     Pavarde116        8         8         5         4         5         6         10        6         9         10        2
Vardas117     Pavarde117        3         2         9         2         7         5         1         10        9         3         1
Vardas118     Pavarde118        9         10        1         6         2         6         9         1         8         0         9
Vardas119     Pavarde119        7         8         3         0         4         6         3         3         4         8         10
Vardas120     Pavarde120        1         8         4         4         9         4         4         5         7         0         4
Vardas121     Pavarde121        2         7         2         3         7         2         9         1         0         2         4
Vardas122     Pavarde122        2         6         3         3         2         10        6         2         10        3         6
Vardas123     Pavarde123        10        8         6         6         4         1         4         8         3         9         7
Vardas124     Pavarde124        7         4         7         2         5         2         9         10        10        3         9
Vardas125     Pavarde125        7         0         1         8         6         1         2         7         2         7         9
Vardas126     Pavarde126        4         0         7         6         8         5         10        4         10        6         0
Vardas127     Pavarde127        2         4         7         0         8         10        3         8         3         5         5
Vardas128     Pavarde128        7         10        5         8         6         9         5         7         5         7         6
Vardas129     Pavarde129        4         6         2         9         1         7         2         3         0         0         8
Vardas130     Pavarde130        7         8         9         8         7         7         7         6         3         2         7
Vardas131     Pavarde131        3         9         10        3         7         6         4         6         0         3         2
Vardas132     Pavarde132        10        4         2         8         10        9         0         7         1         3         0
Vardas133     Pavarde133        1         8         6         0         10        2         1         0         5         0         6
Vardas134     Pavarde134        6         5         2         1         4         4         6         6         0         2         2
Vardas135     Pavarde135        6         4         2         4         9         7         5         8         10        7         3
Vardas136     Pavarde136        3         6         2         8         4         3         2         0         1         1         1
Vardas137     Pavarde137        1         1         1         5         4         6         3         8         1         1         2
Vardas138     Pavarde138        1         10        8         9         9         7         6         3         9         4         0
Vardas139     Pavarde139        3         3         5         4         4         6         10        4         4         2         6
Vardas140     Pavarde140        9         7         4         1         9         2         7         0         4         4         9
Vardas141     Pavarde141        7         1         2         1         8         1         1         3         7         4         5
Vardas142     Pavarde142        2         8         3         6         10        7         0         1         4         0         7
Vardas143     Pavarde143        6         10        5         2         9         10        3         5         10        1         10
Vardas144     Pavarde144        2         7         3         10        10        3         7         5         4         6         10
Vardas145     Pavarde145        3         1         0         10        5         4         6         10        4         2         1
Vardas146     Pavarde146        1         9         1         7         5         5         4         0         2         1         2
Vardas147     Pavarde147        5         1         9         3         5         9         6         8         4         8         10
Vardas148     Pavarde148        8         1         8         6         5         7         9         6         9         7         10
Vardas149     Pavarde149        2         8         4         4         2         10        9         9         3         0         5
Vardas150     Pavarde150        2         10        7         9         0         7         4         2         7         10        1
Vardas151     Pavarde151        0         2         6         2         9         2         9         5         3         3         0
Vardas152     Pavarde152        0         10        1         5         1         5         6         5         1         9         10
Vardas153     Pavarde153        9         8         2         9         0         10        8         2         1         9         10
Vardas154     Pavarde154        7         6         4         2         1         2         9         8         0         8         6
Vardas155     Pavarde155        6         6         1         10        6         6         8         2         6         4         9
Vardas156     Pavarde156        8         8         1         4         9         8         0         10        5         5         10
Vardas157     Pavarde157        8         2         3         4         8         10        5         3         1         8         2
Vardas158     Pavarde158        3         0         3         3         1         9         4         6         5         8         9
Vardas159     Pavarde159        3         9         9         1         9         7         10        1         3         1         6
Vardas160     Pavarde160        6         6         10        9         1         10        1         1         7         5         1
Vardas161     Pavarde161        8         4         1         6         4         5         1         5         10        7         5
Vardas162     Pavarde162        3         10        3         7         7         9         1         7         3         5         6
Vardas163     Pavarde163        0         7         8         6         2         4         8         9         8         2         0
Vardas164     Pavarde164        9         5         3         5         8         1         10        2         1         5         2
Vardas165     Pavarde165        7         4         1         6         8         1         3         10        9         7         10
Vardas166     Pavarde166        4         10        5         7         7         10        0         4         0         8         4
Vardas167     Pavarde167        1         9         0         2         10        0         5         8         1         10        5
Vardas168     Pavarde168        10        0         1         9         3         6         6         7         0         8         8
Vardas169     Pavarde169        9         10        5         10        2         2         0         5         2         10        0
Vardas170     Pavarde170        0         4         9         3         9         4         6         6         9         4         0
Vardas171     Pavarde171        4         4         5         2         2         7         10        5         5         2         0
Vardas172     Pavarde172        3         10        10        3         9         9         3         1         4         9         6
Vardas173     Pavarde173        0         3         1         1         1         7         0         4         6         10        0
Vardas174     Pavarde174        6         10        9         6         3         1         8         3         9         1         5
Vardas175     Pavarde175        2         10        4         4         6         8         5         8         6         0         5
Vardas176     Pavarde176        0         6         2         6         6         8         6         1         10        2         7
Vardas177     Pavarde177        1         9         9         5         2         5         2         10        1         8         5
Vardas178     Pavarde178        9         9         1         10        7         3         10        4         3         1         6
Vardas179     Pavarde179        1         5         9         6         7         5         4         9         10        10        8
Vardas180     Pavarde180        3         3         4         7         7         9         1         0         8         9         9
Vardas181     Pavarde181        1         0         8         7         6         2         6         7         8         7         4
Vardas182     Pavarde182        8         4         4         0         3         7         4         3         7         3         8
Vardas183     Pavarde183        5         7         8         10        7         5         5         5         10        9         3
Vardas184     Pavarde184        4         0         10        8         3         5         4         5         6         7         5
Vardas185     Pavarde185        1         9         4         4         5         5         5         4         8         5         3
Vardas186     Pavarde186        5         7         10        2         8         1         0         2         2         0         9
Vardas187     Pavarde187        3         6         0         0         5         6         8         3         0         0         10
Vardas188     Pavarde188        3         1         7         5         5         2         2         0         6         5         3
Vardas189     Pavarde189        6         5         1         2         7         1         5         3         9         0         10
Vardas190     Pavarde190        3         7         5         6         6         0         10        1         6         6         6
Vardas191     Pavarde191        2         2         10        0         6         1         3         7         8         5         0
Vardas192     Pavarde192        4         7         5         4         8         8         9         1         1         10        8
Vardas193     Pavarde193        1         1         5         8         0         9         5         2         3         7         10
Vardas194     Pavarde194        9         8         10        0         9         0         1         2         10        6         9
Vardas195     Pavarde195        8         0         8         3         5         10        10        8         8         2         3
Vardas196     Pavarde196        1         8         5         9         5         6         3         10        0         5         9
Vardas197     Pavarde197        6         6         9         1         8         6         9         6         10        5         3
Vardas198     Pavarde198        9         5         7         10        0         3         6         3         4         3         2
Vardas199     Pavarde199        8         3         0         8         3         7         3         6         4         7         0
Vardas200     Pavarde200        5         5         3         10        1         7         7         2         6         7         5
Vardas201     Pavarde201        2         2         5         2         0         6         7         8         3         6         2
Vardas202     Pavarde202        6         2         10        7         5         9         9         5         8         1         8
Vardas203     Pavarde203        3         6         3         5         9         10        10        9         4         4         5
Vardas204     Pavarde204        6         1         4         5         6         9         10        9         1         3         1
Vardas205     Pavarde205        9         2         9         4         8         0         6         0         4         9         0
Vardas206     Pavarde206        8         6         2         6         7         9         6         2         10        8         5
Vardas207     Pavarde207        0         1         8         10        10        1         1         0         6         5         4
Vardas208     Pavarde208        0         9         1         1         1         4         9         10        2         3         1
Vardas209     Pavarde209        8         6         4         7         8         0         6         1         3         0         7
Vardas210     Pavarde210        6         3         6         7         3         7         2         5         6         3         4
Vardas211     Pavarde211        3         6         1         4         8         9         9         7         6         1         10
Vardas212     Pavarde212        3         8         8         2         9         8         6         6         8         9         1
Vardas213     Pavarde213        10        10        6         5         3         3         10        6         6         10        3
Vardas214     Pavarde214        3         2         10        2         7         2         4         10        4         3         3
Vardas215     Pavarde215        4         6         9         2         9         9         0         4         3         6         10
Vardas216     Pavarde216        6         0         5         2         10        0         9         6         1         7         0
Vardas217     Pavarde217        5         3         6         0         4         1         8         7         1         7         10
Vardas218     Pavarde218        4         2         3         4         5         2         2         7         9         7         0
Vardas219     Pavarde219        0         4         1         4         1         6         9         4         9         1         2
Vardas220     Pavarde220        0         1         6         7         8         8         1         1         2         6         1
Vardas221     Pavarde221        6         1         3         5         8         9         2         3         8         8         0
Vardas222     Pavarde222        8         2         10        8         2         4         4         2         1         3         10
Vardas223     Pavarde223        4         5         5         9         5         5         3         10        0         4         8
Vardas224     Pavarde224        1         0         7         0         3         3         10        4         2         2         10
Vardas225     Pavarde225        6         8         2         5         0         4         4         4         8         5         2
Vardas226     Pavarde226        7         3         0         1         7         3         1         7         3         2         9
Vardas227     Pavarde227        10        8         6         9         0         8         6         0         0         5         5
Vardas228     Pavarde228        3         0         10        8         1         7         1         4         2         10        2
Vardas229     Pavarde229        8         10        5         5         9         1         9         10        6         0         9
Vardas230     Pavarde230        3         3         0         3         5         9         8         4         7         10        10
Vardas231     Pavarde231        7         0         6         6         7         5         0         5         0         6         6
Vardas232     Pavarde232        9         3         3         3         1         2         6         8         2         7         7
Vardas233     Pavarde233        10        0         9         2         8         1         9         7         8         9         4
Vardas234     Pavarde234        3         10        4         8         8         10        4         6         7         0         10
Vardas235     Pavarde235        8         8         1         1         3         4         5         6         2         10        4
Vardas236     Pavarde236        3         7         8         10        2         8         2         10        0         7         4
Vardas237     Pavarde237        5         1         5         0         3         3         4         1         7         1         4
Vardas238     Pavarde238        10        5         5         1         3         1         3         2         4         8         10
Vardas239     Pavarde239        5         3         5         7         4         0         2         5         5         8         10
Vardas240     Pavarde240        2         6         8         2         3         1         9         1         9         1         7
Vardas241     Pavarde241        9         1         0         5         10        9         10        3         0         2         9
Vardas242     Pavarde242        6         0         5         7         1         0         2         0         1         10        7
Vardas243     Pavarde243        0         8         6         1         10        1         4         1         9         3         8
Vardas244     Pavarde244        8         4         1         0         9         8         8         8         10        10        5
Vardas245     Pavarde245        7         5         8         10        3         3         3         5         1         4         2
Vardas246     Pavarde246        6         9         7         4         2         8         1         7         9         3         0
Vardas247     Pavarde247        2         10        10        7         4         7         8         3         3         8         6
Vardas248     Pavarde248        4         5         0         3         6         8         1         0         9         1         1
Vardas249     Pavarde249        6         2         5         3         7         0         5         6         9         7         10
Vardas250     Pavarde250        9         0         3         7         8         7         10        1         1         8         6
Vardas251     Pavarde251        9         7         4         3         3         9         4         9         6         2         3
Vardas252     Pavarde252        10        5         0         10        3         8         0         8         8         6         6
Vardas253     Pavarde253        4         0         4         7         0         2         8         3         1         2         8
Vardas254     Pavarde254        6         10        0         1         0         3         2         2         9         7         1
Vardas255     Pavarde255        6         2         10        1         9         9         5         8         7         3         3
Vardas256     Pavarde256        3         0         6         1         6         7         10        0         0         4         3
Vardas257     Pavarde257        9         10        1         6         0         3         8         8         8         1         0
Vardas258     Pavarde258        5         4         9         2         3         2         10        2         5         4         8
Vardas259     Pavarde259        4         1         6         5         1         10        7         9         8         2         3
Vardas260     Pavarde260        3         9         10        0         9         4         6         6         7         9         10
Vardas261     Pavarde261        7         0         2         7         2         10        5         10        5         7         8
Vardas262     Pavarde262        3         10        1         3         10        1         10        6         0         6         4
Vardas263     Pavarde263        9         3         10        7         10        2         9         6         7         6         9
Vardas264     Pavarde264        10        7         4         1         5         10        6         3         10        2         0
Vardas265     Pavarde265        4         8         3         3         10        10        6         5         2         9         3
Vardas266     Pavarde266        9         6         10        10        7         6         4         4         7         5         7
Vardas267     Pavarde267        1         5         7         2         5         4         4         4         6         10        3
Vardas268     Pavarde268        4         7         2         8         2         10        5         7         1         6         4
Vardas269     Pavarde269        3         1         5         5         4         7         8         9         0         3         10
Vardas270     Pavarde270        1         5         6         1         8         0         9         5         5         2         6
Vardas271     Pavarde271        8         9         1         3         4         10        2         9         1         8         9
Vardas272     Pavarde272        6         5         4         9         3         1         10        3         6         0         8
Vardas273     Pavarde273        4         8         7         3         1         4         9         7         9         6         0
Vardas274     Pavarde274        4         0         2         8         2         4         4         10        0         4         8
Vardas275     Pavarde275        4         4         2         7         5         1         9         2         5         0         0
Vardas276     Pavarde276        3         8         5         1         6         9         3         8         0         8         3
Vardas277     Pavarde277        7         8         6         8         1         5         4         8         2         3         3
Vardas278     Pavarde278        4         5         2         1         6         6         10        1         1         3         6
Vardas279     Pavarde279        0         3         0         10        9         5         8         7         0         6         5
Vardas280     Pavarde280        3         5         5         1         2         9         8         1         2         10        2
Vardas281     Pavarde281        4         1         7         9         0         7         4         4         3         3         4
Vardas282     Pavarde282        0         10        10        3         0         10        4         5         10        9         0
Vardas283     Pavarde283        5         1         4         7         4         3         0         6         10        6         10
Vardas284     Pavarde284        1         6         10        6         0         10        10        1         3         6         10
Vardas285     Pavarde285        10        3         3         10        10        9         4         5         7         9         9
Vardas286     Pavarde286        5         2         7         6         0         10        7         3         0         0         7
Vardas287     Pavarde287        0         2         4         3         7         6         6         5         5         7         4
Vardas288     Pavarde288        1         1         8         2         7         7         6         4         0         9         6
Vardas289     Pavarde289        6         3         0         9         7         2         3         4         4         1         4
Vardas290     Pavarde290        8         9         10        3         1         7         3         5         3         3         7
Vardas291     Pavarde291        5         4         6         7         1         8         10        3         9         9         8
Vardas292     Pavarde292        4         1         8         5         5         1         0         0         0         0         9
Vardas293     Pavarde293        10        4         3         1         5         1         7         5         7         7         3
Vardas294     Pavarde294        10        3         4         7         4         2         3         6         2         2         1
Vardas295     Pavarde295        3         5         1         4         6         4         7         2         4         3         8
Vardas296     Pavarde296        10        6         3         10        6         8         6         7         10        8         0
Vardas297     Pavarde297        8         5         3         0         0         4         8         8         8         0         2
Vardas298     Pavarde298        2         6         2         6         1         5         7         5         3         10        9
Vardas299     Pavarde299        9         0         6         5         0         7         8         8         2         1         4
Vardas300     Pavarde300        4         5         9         9         3         0         6         6         3         3         3
Vardas301     Pavarde301        7         1         8         4         8         4         4         7         7         2         5
Vardas302     Pavarde302        6         0         4         10        10        9         6         9         6         2         9
Vardas303     Pavarde303        0         5         1         7         9         7         6         8         2         2         3
Vardas304     Pavarde304        9         10        10        9         9         4         1         2         7         0         8
Vardas305     Pavarde305        5         5         8         4         1         3         8         1         8         2         0
Vardas306     Pavarde306        2         5         6         0         5         1         3         2         10        2         0
Vardas307     Pavarde307        5         1         5         8         10        2         6         5         5         0         6
Vardas308     Pavarde308        1         9         6         7         8         0         8         8         9         4         0
Vardas309     Pavarde309        2         3         4         0         0         9         2         2         0         2         8
Vardas310     Pavarde310        3         2         0         10        0         1         3         0         3         6         5
Vardas311     Pavarde311        6         3         3         3         8         3         0         7         9         9         2
Vardas312     Pavarde312        1         6         9         7         0         5         5         3         7         6         1
Vardas313     Pavarde313        3         5         9         7         2         9         6         0         6         4         3
Vardas314     Pavarde314        9         4         5         4         3         5         6         5         4         2         2
Vardas315     Pavarde315        7         1         10        8         4         1         3         3         9         3         0
Vardas316     Pavarde316        2         8         2         10        0         7         10        2         9         7         8
Vardas317     Pavarde317        10        7         4         1         10        5         7         1         8         10        8
Vardas318     Pavarde318        9         6         5         2         2         3         1         10        3         4         9
Vardas319     Pavarde319        2         6         6         10        6         2         2         0         0         6         2
Vardas320     Pavarde320        5         4         2         2         7         5         5         1         7         9         1
Vardas321     Pavarde321        9         8         2         8         9         6         5         2         4         5         8
Vardas322     Pavarde322        7         10        3         2         9         5         5         9         8         9         6
Vardas323     Pavarde323        3         1         7         5         10        9         3         3         4         10        8
Vardas324     Pavarde324        5         1         8         10        9         3         7         1         9         3         0
Vardas325     Pavarde325        3         1         2         1         8         10        2         0         3         5         9
Vardas326     Pavarde326        5         9         8         2         7         2         3         7         3         0         3
Vardas327     Pavarde327        7         3         2         6         3         9         3         4         1         7         9
Vardas328     Pavarde328        8         7         4         1         10        0         8         10        2         10        10
Vardas329     Pavarde329        6         9         10        6         0         4         2         8         10        1         7
Vardas330     Pavarde330        9         9         0         10        5         4         9         9         4         9         4
Vardas331     Pavarde331        2         5         1         5         4         4         9         4         6         7         3
Vardas332     Pavarde332        7         7         3         2         3         0         3         1         2         9         7
Vardas333     Pavarde333        6         7         1         0         6         0         10        6         9         7         4
Vardas334     Pavarde334        3         10        6         5         3         7         9         5         2         9         7
Vardas335     Pavarde335        5         2         6         1         5         5         10        7         4         1         5
Vardas336     Pavarde336        4         6         9         9         2         3         2         2         2         3         10
Vardas337     Pavarde337        8         10        9         8         9         9         0         6         0         9         8
Vardas338     Pavarde338        9         1         7         5         2         2         0         6         6         8         1
Vardas339     Pavarde339        7         4         2         7         4         5         2         6         3         3         0
Vardas340     Pavarde340        8         0         8         9         2         9         8         7         6         9         0
Vardas341     Pavarde341        5         5         5         9         0         0         6         4         6         2         7
Vardas342     Pavarde342        3         10        5         9         9         6         2         4         7         6         8
Vardas343     Pavarde343        4         10        3         8         0         3         3         7         0         0         9
Vardas344     Pavarde344        5         4         1         5         8         10        7         3         9         4         1
Vardas345     Pavarde345        9         3         5         9         8         4         4         9         2         1         10
Vardas346     Pavarde346        7         7         0         8         1         6         5         10        4         2         3
Vardas347     Pavarde347        9         9         0         7         2         3         1         1         8         6         4
Vardas348     Pavarde348        10        6         0         6         2         5         9         4         0         1         8
Vardas349     Pavarde349        1         3         0         8         7         1         1         6         5         4         7
Vardas350     Pavarde350        3         5         1         9         3         1         2         5         7         4         2
Vardas351     Pavarde351        10        0         6         4         4         5         9         8         0         1         6
Vardas352     Pavarde352        10        2         4         5         5         7         10        3         0         6         4
Vardas353     Pavarde353        4         3         0         2         4         6         0         8         8         2         3
Vardas354     Pavarde354        0         2         9         7         4         10        6         7         6         5         4
Vardas355     Pavarde355        8         8         6         7         0         6         5         7         10        2         6
Vardas356     Pavarde356        5         1         7         5         10        8         5         10        0         9         3
Vardas357     Pavarde357        5         9         6         6         2         2         5         2         4         4         0
Vardas358     Pavarde358        0         10        5         4         0         4         1         0         5         1         0
Vardas359     Pavarde359        6         2         7         2         4         3         5         4         2         6         3
Vardas360     Pavarde360        4         6         4         10        9         4         4         9         8         7         0
Vardas361     Pavarde361        6         1         2         8         2         8         3         5         8         0         1
Vardas362     Pavarde362        3         8         4         3         1         8         10        3         6         3         5
Vardas363     Pavarde363        6         10        3         10        7         2         4         1         0         1         10
Vardas364     Pavarde364        8         4         6         7         7         1         5         2         0         7         2
Vardas365     Pavarde365        10        10        1         2         9         9         9         8         3         9         0
Vardas366     Pavarde366        0         10        6         4         10        8         0         4         0         10        0
Vardas367     Pavarde367        10        4         0         7         0         8         2         10        6         4         5
Vardas368     Pavarde368        4         6         8         1         2         4         4         2         4         7         8
Vardas369     Pavarde369        6         8         9         3         1         5         8         3         10        4         0
Vardas370     Pavarde370        0         9         9         7         0         0         8         1         2         4         8
Vardas371     Pavarde371        0         9         6         7         7         2         5         5         10        8         1
Vardas372     Pavarde372        6         1         8         4         2         6         4         8         6         0         9
Vardas373     Pavarde373        1         6         4         10        10        2         6         7         4         10        7
Vardas374     Pavarde374        7         5         5         2         7         10        0         0         0         9         4
Vardas375     Pavarde375        5         2         0         3         5         4         9         9         1         7         10
Vardas376     Pavarde376        1         7         5         5         4         8         1         9         5         7         10
Vardas377     Pavarde377        2         4         2         6         9         6         6         2         7         7         2
Vardas378     Pavarde378        9         5         3         1         5         7         6         1         10        10        4
Vardas379     Pavarde379        6         3         7         10        6         5         4         8         9         10        2
Vardas380     Pavarde380        7         4         3         2         2         9         9         3         1         4         9
Vardas381     Pavarde381        7         10        9         2         8         6         6         2         3         6         5
Vardas382     Pavarde382        5         7         2         6         5         10        8         0         2         1         4
Vardas383     Pavarde383        9         9         10        2         0         1         7         10        2         5         10
Vardas384     Pavarde384        8         7         0         10        8         6         2         3         4         9         8
Vardas385     Pavarde385        8         4         8         10        10        9         8         4         2         8         1
Vardas386     Pavarde386        0         6         0         0         8         3         4         4         2         10        0
Vardas387     Pavarde387        10        6         6         9         8         2         10        8         0         7         6
Vardas388     Pavarde388        5         10        7         8         7         1         8         2         10        4         8
Vardas389     Pavarde389        4         5         4         3         7         8         6         1         4         4         7
Vardas390     Pavarde390        3         2         0         8         4         3         6         0         2         6         1
Vardas391     Pavarde391        7         10        8         1         2         2         3         0         1         3         5
Vardas392     Pavarde392        7         7         9         4         9         0         3         6         3         8         8
Vardas393     Pavarde393        5         9         5         8         7         7         5         1         0         7         1
Vardas394     Pavarde394        1         5         9         2         9         10        4         4         2         0         8
Vardas395     Pavarde395        1         10        0         0         8         7         1         7         8         5         0
Vardas396     Pavarde396        5         5         6         10        10        3         3         3         1         7         9
